symbol,timeframe,signal_type,entry_price,tp_target,sl_target,exit_price,exit_reason,timeout_price,pnl_pct,result,timeout_result,hold_bars,mfe,mae,fired_time,achieved_rr,score,confidence
AUCTION-USDT,30min,LONG,4.96496,5.10794,4.93281714,4.93281714,SL,,-0.6473941381199355,LOSS,,3,-0.09990009990009248,-1.7111920337726731,2026-02-22T15:54:47.451698,4.448266666666638,13,75.0
AUCTION-USDT,30min,LONG,4.96496,5.10794,4.93281714,4.93281714,SL,,-0.6473941381199355,LOSS,,3,-0.09990009990009248,-1.7111920337726731,2026-02-22T15:55:30.704908,4.448266666666638,13,75.0
AUCTION-USDT,30min,LONG,4.96496,5.10794,4.93281714,4.93281714,SL,,-0.6473941381199355,LOSS,,3,-0.09990009990009248,-1.7111920337726731,2026-02-22T15:55:45.947489,4.448266666666638,13,75.0
AUCTION-USDT,30min,LONG,4.974969999999999,5.10794,4.94282714,4.94282714,SL,,-0.6460915342202801,LOSS,,3,-0.3009063371236217,-1.908956234911952,2026-02-22T16:01:14.856516,4.136844444444438,13,75.0
AUCTION-USDT,30min,LONG,4.974969999999999,5.10794,4.94282714,4.94282714,SL,,-0.6460915342202801,LOSS,,3,-0.3009063371236217,-1.908956234911952,2026-02-22T16:01:37.977658,4.136844444444438,13,75.0
AUCTION-USDT,30min,LONG,4.96496,5.10794,4.93281714,4.93281714,SL,,-0.6473941381199355,LOSS,,3,-0.09990009990009248,-1.7111920337726731,2026-02-22T16:02:30.429300,4.448266666666638,13,75.0
AUCTION-USDT,30min,LONG,4.96496,5.10794,4.93281714,4.93281714,SL,,-0.6473941381199355,LOSS,,3,-0.09990009990009248,-1.7111920337726731,2026-02-22T16:07:26.033275,4.448266666666638,13,75.0
AUCTION-USDT,30min,LONG,4.96496,5.10794,4.93281714,4.93281714,SL,,-0.6473941381199355,LOSS,,3,-0.09990009990009248,-1.7111920337726731,2026-02-22T16:07:43.166053,4.448266666666638,13,75.0
BIO-USDT,15min,LONG,0.027387359999999996,0.0295168,0.02720522,0.02720522,SL,,-0.6650513229460501,LOSS,,1,2.6020762862868274,-2.071612597928373,2026-02-22T11:33:40.754078,11.691043137254967,13,76.6
BIO-USDT,15min,LONG,0.027697669999999997,0.0295168,0.02747624,0.02747624,SL,,-0.7994535280404388,LOSS,,1,1.4525770579258215,-3.1687502956024716,2026-02-22T11:36:12.978226,8.215372804046504,13,77.2
BIO-USDT,15min,LONG,0.027737709999999995,0.0295168,0.02751628,0.02751628,SL,,-0.7982994991295054,LOSS,,1,1.3061280112886202,-3.3085283536384056,2026-02-22T11:36:28.283705,8.034548164205603,13,77.2
BIO-USDT,15min,LONG,0.027737709999999995,0.0295168,0.02751628,0.02751628,SL,,-0.7982994991295054,LOSS,,1,1.3061280112886202,-3.3085283536384056,2026-02-22T11:36:32.663299,8.034548164205603,13,77.2
BIO-USDT,15min,LONG,0.02800798,0.0295168,0.02777869,0.02777869,SL,,-0.8186595391741803,LOSS,,1,-2.2064425924325755,-4.241576864879217,2026-02-22T11:41:47.961173,6.580400366348395,14,81.4
BIO-USDT,15min,LONG,0.02800798,0.0295168,0.02777869,0.02777869,SL,,-0.8186595391741803,LOSS,,1,-2.2064425924325755,-4.241576864879217,2026-02-22T11:41:57.858124,6.580400366348395,14,81.4
BIO-USDT,15min,LONG,0.027967939999999997,0.0295168,0.02773865,0.02773865,SL,,-0.8198315642839502,LOSS,,1,-2.06643749950835,-4.1044853500114655,2026-02-22T11:42:00.309419,6.755026385799755,14,81.4
BIO-USDT,15min,LONG,0.028128099999999996,0.0295168,0.0278881,0.0278881,SL,,-0.8532392874029784,LOSS,,1,-2.6240663251339233,-4.650509632716025,2026-02-22T11:44:36.124268,5.786249999999998,14,81.4
BIO-USDT,15min,LONG,0.028128099999999996,0.0295168,0.0278881,0.0278881,SL,,-0.8532392874029784,LOSS,,1,-2.6240663251339233,-4.650509632716025,2026-02-22T11:44:39.202685,5.786249999999998,14,81.4
BIO-USDT,15min,LONG,0.02811809,0.0295168,0.02787809,0.02787809,SL,,-0.853543039374286,LOSS,,1,-2.589400631408454,-4.616565349922411,2026-02-22T11:44:43.304615,5.827958333333322,14,81.4
BIO-USDT,1h,LONG,0.028027999999999997,0.03233598,0.02729943,0.02729943,SL,,-2.599436278007699,LOSS,,1,-1.812473241044663,-4.809476238047662,2026-02-22T11:41:50.044673,5.912913725490196,13,74.1
BIO-USDT,1h,LONG,0.027967939999999997,0.03233598,0.02723937,0.02723937,SL,,-2.605018460422891,LOSS,,1,-1.601619568691857,-4.605058506275393,2026-02-22T11:42:00.057377,5.995349019607843,13,74.1
BIO-USDT,1h,LONG,0.027967939999999997,0.03233598,0.02723937,0.02723937,SL,,-2.605018460422891,LOSS,,1,-1.601619568691857,-4.605058506275393,2026-02-22T11:42:02.643118,5.995349019607843,13,74.1
BNB-USDT,15min,LONG,624.9413169999999,631.238458,624.06738843,624.06738843,SL,,-0.13984170132887244,LOSS,,1,-0.06485680958744615,-1.8115808143950756,2026-02-22T11:37:34.013555,7.205555700858395,13,77.7
BNB-USDT,15min,LONG,624.6740499999999,631.238458,623.80012143,623.80012143,SL,,-0.13990153264728414,LOSS,,1,-0.022099525344442823,-1.7695708665983245,2026-02-22T11:37:48.515786,7.511378177360306,13,77.7
BNB-USDT,15min,LONG,624.642018,631.238458,623.76808943,623.76808943,SL,,-0.139908706877925,LOSS,,1,-0.01697260141729095,-1.764533554001166,2026-02-22T11:37:51.833487,7.548031058439,13,77.7
BNB-USDT,15min,LONG,624.426803,631.238458,623.55287443,623.55287443,SL,,-0.13995692782585048,LOSS,,1,0.017487558105348446,-1.730675708998985,2026-02-22T11:40:24.888684,7.79429260318774,13,77.7
BNB-USDT,15min,LONG,624.5198959999999,631.238458,623.64596743,623.64596743,SL,,-0.13993606538355377,LOSS,,1,0.0025786208098710754,-1.7453240592994494,2026-02-22T11:40:35.317401,7.68777016755232,13,77.7
BNB-USDT,15min,LONG,624.5198959999999,631.238458,623.64596743,623.64596743,SL,,-0.13993606538355377,LOSS,,1,0.0025786208098710754,-1.7453240592994494,2026-02-22T11:40:40.175430,7.68777016755232,13,77.7
BTC-USDT,15min,LONG,67781.41369999999,68398.8198,67594.32798571,67594.32798571,SL,,-0.2760132963853944,LOSS,,1,-0.11701393593091175,-0.8725307834645977,2026-02-22T15:42:24.435104,3.300124236332658,13,77.4
BTC-USDT,15min,LONG,67850.88309999999,68398.8198,67663.79738571,67663.79738571,SL,,-0.27573069905996744,LOSS,,1,-0.21927953359237268,-0.9740228421581029,2026-02-22T15:44:29.807040,2.9288003206416873,14,80.8
BTC-USDT,15min,LONG,67845.2775,68398.8198,67658.19178571,67658.19178571,SL,,-0.27575348083732326,LOSS,,1,-0.2110353222447807,-0.9658409901853472,2026-02-22T15:44:44.949491,2.958763057354478,14,80.8
