[FIRED] Logged: 23dee4d1-680a-4435-8445-4c714cfdffd8, HYPE-USDT, 5min, LONG, 2025-09-25T17:38:17.668526, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.6, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 62.2%
[FIRED] Logged: f2c6791f-cae1-4b5a-947e-8e5f31f9e3ef, HYPE-USDT, 3min, LONG, 2025-09-25T18:16:55.986605, 99, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 19.2, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 64.2%
[FIRED] Logged: 0f93c7ad-a2d0-4df3-ad4d-f150d75eb276, ARKM-USDT, 3min, LONG, 2025-09-25T18:20:47.575449, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.9, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 63.2%
[FIRED] Logged: eb78cd00-3d02-4d10-91f5-b1efc80a090e, POL-USDT, 3min, LONG, 2025-09-25T18:49:38.604027, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.5, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.9%
[FIRED] Logged: 30c72a39-c1d2-4425-9890-b7e7d7edc7cd, RAY-USDT, 3min, LONG, 2025-09-25T18:49:41.097207, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.5, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.9%
[FIRED] Logged: 72662bf8-e9f4-456b-86dd-d1377a151843, AAVE-USDT, 3min, LONG, 2025-09-25T18:49:45.143327, 99, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 18.5, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.9%
[FIRED] Logged: b1df06ca-090e-4de0-b966-158be25298a3, TURBO-USDT, 3min, LONG, 2025-09-25T18:49:54.056632, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.5, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.9%
[FIRED] Logged: 191cbb0b-0ee0-4499-8317-3f9b9e4c9b31, ATH-USDT, 5min, LONG, 2025-09-25T18:55:21.950599, 98, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.5, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.9%
[FIRED] Logged: e2d80e35-71f7-4e5f-9eee-4502f0a888a1, SPK-USDT, 3min, LONG, 2025-09-25T19:02:31.124422, 99, SCORE: 9, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 21.0, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 70.2%
[FIRED] Logged: be1499be-6dc2-4474-ba3d-df21a786ce18, MAGIC-USDT, 3min, LONG, 2025-09-25T19:09:30.809339, 98, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.5, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.9%
[FIRED] Logged: 2d2c54fb-ef8f-4e2a-a790-fd0ef2e5823b, MAGIC-USDT, 3min, LONG, 2025-09-25T19:11:21.538772, 98, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.5, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.9%
[FIRED] Logged: 397dd80f-d21c-456d-9e2d-11697ac63439, ATH-USDT, 3min, LONG, 2025-09-25T19:11:50.294309, 99, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 19.2, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 64.2%
[FIRED] Logged: 759d186d-290c-4808-9f28-7941154ec7c5, ARKM-USDT, 3min, LONG, 2025-09-25T19:13:41.227955, 98, SCORE: 9, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 21.3, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 71.2%
[FIRED] Logged: 1f6e45dc-a93a-46ce-b036-582e963748e9, DOGE-USDT, 3min, LONG, 2025-09-25T19:20:42.681879, 99, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 19.2, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 64.2%
[FIRED] Logged: 59137bab-767c-4de3-81ea-84aa90f8b99d, ARKM-USDT, 5min, LONG, 2025-09-25T19:20:59.477178, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.9, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 63.2%
[FIRED] Logged: a825bf2e-71cd-4f5b-b9e6-b3b91b3de8fa, ARKM-USDT, 5min, LONG, 2025-09-25T19:22:51.791320, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.9, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 63.2%
[FIRED] Logged: a5abf545-bece-4827-841c-84c6f3d08146, MAGIC-USDT, 3min, LONG, 2025-09-25T19:24:15.835119, 98, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 19.6, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 65.6%
[FIRED] Logged: e61e38f2-d646-47b1-8f86-5f3869141773, MAGIC-USDT, 3min, LONG, 2025-09-25T19:26:06.403801, 98, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 19.6, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 65.6%
[FIRED] Logged: bc0eb59e-b629-4309-abc4-ebf79bd9ab36, ARKM-USDT, 3min, LONG, 2025-09-25T19:26:32.950549, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.5, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.9%
[FIRED] Logged: 532ddf1e-83f9-47f1-90ee-aefab3a81b7a, TURBO-USDT, 5min, LONG, 2025-09-25T20:24:15.310979, 99, SCORE: 9, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 21.2, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 70.9%
[FIRED] Logged: e81e6cb2-ba9e-4b43-8eb8-c44f3aeefed1, WLFI-USDT, 5min, LONG, 2025-09-25T21:00:02.561731, 98, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.4, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.5%
[FIRED] Logged: 5fb389de-14d4-4c4d-8a68-9b0b7d90b2f1, POL-USDT, 3min, LONG, 2025-09-25T21:07:18.998474, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 19.2, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 64.2%
[FIRED] Logged: ffdea024-d178-46d3-a82e-472976526f3f, ATH-USDT, 3min, LONG, 2025-09-25T21:07:27.699689, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 19.2, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 64.2%
[FIRED] Logged: ffad503d-209f-4f4e-b2a8-625ca47f9d9f, SAHARA-USDT, 3min, LONG, 2025-09-25T21:08:58.989694, 99, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 19.2, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 64.2%
[FIRED] Logged: d6392ad1-d741-40f2-911b-24d892eadf80, HYPE-USDT, 5min, LONG, 2025-09-25T21:09:11.119423, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.3, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.2%
[FIRED] Logged: 35c37770-5856-4708-99fe-03e1adb25293, POL-USDT, 5min, LONG, 2025-09-25T21:09:14.763561, 99, SCORE: 9, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 21.0, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 70.2%
[FIRED] Logged: 7646f113-bb1f-43c5-ac16-7fd18edce7c8, ATH-USDT, 5min, LONG, 2025-09-25T21:09:23.788964, 99, SCORE: 9, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 21.0, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 70.2%
[FIRED] Logged: 8b81e12e-fe50-4d65-96aa-903fd2b6f0f5, NMR-USDT, 5min, LONG, 2025-09-25T21:09:26.327923, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 19.1, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 63.9%
[FIRED] Logged: 413818a6-55a9-401b-895a-1a611b9991f3, TURBO-USDT, 5min, LONG, 2025-09-25T21:09:29.950144, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.3, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.2%
[FIRED] Logged: 35d3469f-ca3e-4508-895c-a234f2ee4dbd, BNB-USDT, 3min, LONG, 2025-09-25T21:10:38.718096, 99, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 19.5, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 65.2%
[FIRED] Logged: 0812db6e-cd05-41de-a105-8893e44c7e5c, PARTI-USDT, 5min, LONG, 2025-09-25T21:11:01.855801, 98, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.4, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.5%
[FIRED] Logged: 77553c69-2505-45bd-b7d3-1e0edc16097b, POL-USDT, 3min, LONG, 2025-09-25T21:11:13.669204, 99, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 18.5, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.9%
[FIRED] Logged: 9b4de8bf-ab44-48ae-8b40-566b3ba6d9a4, TURBO-USDT, 5min, LONG, 2025-09-25T21:11:26.102729, 98, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.3, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.2%
[FIRED] Logged: 95730b80-4101-4358-94db-9e80cf7818a7, SAHARA-USDT, 3min, LONG, 2025-09-25T21:14:41.456865, 97, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 19.2, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 64.2%
[FIRED] Logged: 64f9948c-f51b-4080-be4e-e87fa3a765c7, TURBO-USDT, 5min, LONG, 2025-09-25T21:15:06.233830, 97, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.3, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.2%
[FIRED] Logged: 7c2b7d8d-e660-4c06-b489-7d8e82bf8f5a, TURBO-USDT, 5min, LONG, 2025-09-25T21:18:44.983542, 97, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.3, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.2%
[FIRED] Logged: 477d8905-e453-4cbe-a164-ce697e2936cc, AVAX-USDT, 3min, LONG, 2025-09-25T21:19:59.353203, 99, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 18.9, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 63.2%
[FIRED] Logged: b349e935-a785-4874-b1d8-9d0784b0292b, NMR-USDT, 5min, LONG, 2025-09-25T21:22:23.028848, 99, SCORE: 9, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 21.2, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 70.9%
[FIRED] Logged: 4d88a358-382f-4677-ab9e-50ee5e333b65, POL-USDT, 3min, LONG, 2025-09-25T21:24:03.902979, 98, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 19.6, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 65.6%
[FIRED] Logged: ae217e22-295c-43e5-b173-edc6c0325c17, TURBO-USDT, 3min, LONG, 2025-09-25T21:24:15.573357, 98, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.5, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.9%
[FIRED] Logged: 72d727ca-5d33-4ad0-8712-aa1205568865, TURBO-USDT, 3min, LONG, 2025-09-25T21:26:06.619894, 98, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.5, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.9%
[FIRED] Logged: ba7aeea8-aa5b-4209-a33f-a3c20f5fc2a8, TURBO-USDT, 3min, LONG, 2025-09-25T21:27:55.666446, 97, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.5, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.9%
[FIRED] Logged: 810e9a2e-31ce-40cb-9f12-46324899cabc, BERA-USDT, 5min, LONG, 2025-09-25T21:49:00.908531, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.4, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.5%
[FIRED] Logged: f28105bd-1c7b-4831-9d1a-e3df4997a72c, BERA-USDT, 3min, LONG, 2025-09-25T21:50:50.672054, 99, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 19.5, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 65.2%
[FIRED] Logged: 79d19810-ad90-4e52-b439-da11f43f0536, ARKM-USDT, 3min, LONG, 2025-09-25T21:51:14.390057, 98, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 18.1, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 60.5%
[FIRED] Logged: b7ec6005-cdc3-437a-93a4-1f0fe08aa369, DYDX-USDT, 3min, LONG, 2025-09-25T21:53:04.421739, 99, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 18.9, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 63.2%
[FIRED] Logged: da082921-c734-4a91-9743-734c939bb993, ATH-USDT, 3min, LONG, 2025-09-25T21:53:09.344577, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.9, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 63.2%
[FIRED] Logged: 6f08967d-dda6-4339-884a-8146f986bc82, PARTI-USDT, 3min, LONG, 2025-09-25T21:56:29.453300, 99, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 18.5, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.9%
[FIRED] Logged: a791e32f-2d51-4d69-aaf5-a89a824b5a65, PUMP-USDT, 3min, LONG, 2025-09-25T21:59:55.883100, 99, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 19.3, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 64.5%
[FIRED] Logged: a535e42c-e451-4347-ac0b-87dfd838f9d2, DOT-USDT, 3min, LONG, 2025-09-25T22:01:48.547131, 99, SCORE: 8, MAX SCORE: 13, PASSED: 5, MAX PASSED: 7, WEIGHTS: 19.2, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 64.2%
[FIRED] Logged: 6e4b759d-25e2-4d22-ba35-38dd7956a40a, BERA-USDT, 3min, LONG, 2025-09-25T22:01:57.444370, 99, SCORE: 8, MAX SCORE: 13, PASSED: 7, MAX PASSED: 7, WEIGHTS: 18.5, MAX WEIGHTS: 29.9, CONFIDENCE RATE: 61.9%
